"DisplayName","AppId","Owner"
"AdminAutomationApp","5a8fbc47-7e92-4e79-8c42-f6e525cdf5fa","NO OWNER"
"API-driven to Entra ID","79f5c969-aa64-42c5-bc8f-35e713aca4c7","NO OWNER"
"API-DrivenAuthApp","b080393b-560b-4a32-817c-72f7d7db7809","NO OWNER"
"ArcAccess","38583494-b477-4bd2-8804-dfcaef9ad3ef","NO OWNER"
"Claims X-Ray (not working anymore)","4d8b8438-efaf-4d89-8620-2d0ca2526d30","NO OWNER"
"ClaimsXRay New","b996d1b1-bc02-4734-b58b-c523a641e116","NO OWNER"
"CloudCon02TestApp","38b24b84-211e-4432-9020-e8d4674a62df","NO OWNER"
"ConnectSyncProvisioning_CLOUDCON01_b36077c85be6","88c5046f-3967-455b-9fd8-e32a2d7abbc4","NO OWNER"
"DSCAuthApp","fe440ea6-bad4-4d66-9cfb-da2d2ea9a976","NO OWNER"
"Federated OIDC SSO","8b37fb27-7a5d-4fed-a36f-a1081258d301","NO OWNER"
"GSA-Internettrafficforwardingprofile","783f6104-d3b8-437e-8ca7-6849619a60de",
"GSA-Microsoft365trafficforwardingprofile","f8671b00-5f96-4307-ac1c-807563b8d258",
"GSA-Privateaccesstrafficforwardingprofile","0a9195c0-556c-4d3c-8ec4-7d02fbe33dc4",
"Integration App","bdcb2c24-f92e-466e-ac00-68a726f3cc65","NO OWNER"
"jwt test","98f08b8e-3912-410c-b1ca-c29f33550ce9","NO OWNER"
"KB Demo App OnPrem","17256ba6-5a53-449c-93cb-cafb07e932e4","NO OWNER"
"kbaccount.de","eded9557-f911-4f60-bc05-f4d516aa3679","NO OWNER"
"kbaccount.de","71a2f0a1-0d32-4aa5-a20c-66f23668e285","NO OWNER"
"kbrunSecurity-KBRUN Entra Security Backup-82ddb4b2-e2e9-4c87-9d0a-ff694ee99af2","69a7a770-262d-41ea-844d-808ba716a11d","NO OWNER"
"Microsoft Entra SAML Toolkit","35433d2c-2e4c-4b29-8fe7-d78e9d3d900c","NO OWNER"
"MockSAML","e9b7ef13-834b-46f4-a37b-c100fc7256ce","NO OWNER"
"MyCustomExtensionAttributes","98bb2511-8998-405d-a0ff-3e6596b2b7d6","NO OWNER"
"OIDC Test jwt","d4782093-1c87-459d-a1f9-97b1429c7e38","NO OWNER"
"P2P Server","86b3147d-9193-461a-84c9-648eed967669","NO OWNER"
"Permission App","f497fea4-f8c5-498a-b47c-df9485b47368","NO OWNER"
"Salesforce SAML Test","507fbdba-a34b-48aa-add3-7abdd9faaa2f","NO OWNER"
"Schema School Extension App","b866c2c8-096d-4dcc-9074-852f531cefb1","NO OWNER"
"SQL-Server-ProjectKBCORP-App","931ac12f-a182-4dcd-bd4b-0e8998765dad","Fred@kbcorp2021.onmicrosoft.com"
"SSOCircle","e437a8ff-d8f3-45c5-99f6-65c3eb275259","NO OWNER"
"test","ee5ddb8a-a9c0-436d-a65a-ef07fbe54db1","NO OWNER"
"test for delete EA","7e92e470-2692-4651-a971-286058e79a4d","NO OWNER"
"testapp","36c338c7-45dc-4251-8a87-cabd6af6f372","NO OWNER"
"Web-Development-Kit-v20","8d32302e-1b78-40fa-9f13-9fdfdc54dfd1","NO OWNER"
"YubiEnroll-App","58896c74-ebaa-41a2-afec-31b480503121","NO OWNER"
"Zoom","c9714eef-3eca-44a5-a4e6-edb5a767830b","NO OWNER"
